Nombre,Energia,Proteina,Carbohidratos,Azucares,Lipidos,Sodio,Unidad,Grupo,Peso Neto,,
Pera picada,63,0.8,16,10.6,0.3,0,1,1,150,,
Pera piña,46,0.3,12.4,7.8,0.1,0,1,1,80,,
Pera rebanada,41,0.5,10.4,6.9,0.2,0,1,1,98,,
Pera roja,47,0.3,12.5,7.9,0.1,0,1,1,81,,
Pera roja rebanada,46,0.3,12.4,7.8,0.1,0,1,1,80,,
Perón,65,0.4,16.7,0,0.4,0,1,1,105,,
Perón picado,58,0.4,14.9,0,0.4,0,1,1,94,,
Pérsimo,64,0.4,16.8,0,0.2,0,1,1,50,,
Pérsimo japonés,59,0.5,15.6,10.5,0.2,0,1,1,84,,
Piña en almíbar,42,0.2,10.8,0,0.1,0,1,1,50,,
Piña en almíbar,53,0.2,13.6,0,0.1,0,1,1,63,,
Piña picada,62,0.7,16.2,12.2,0.1,0,1,1,124,,
Piña rebanada,42,0.5,11,8.3,0.1,0,1,1,84,,
Pitahaya,52,1.7,11.2,0,0.6,0,1,1,108,,
Plátano,48,0.6,12.4,6.7,0.2,0,1,1,54,,
Plátano deshidratado,69,0.8,17.7,9.5,0.4,0,1,1,20,,
Plátano dominico,54,1,14,7.4,0.1,0,1,1,57,,
Plátano machacado,50,0.6,12.8,6.9,0.2,0,1,1,56,,
Plátano macho,95,0.5,11.6,6,0.2,0,1,1,49,,
Plátano macho rebanado,99,0.5,12,6.3,0.3,0,1,1,51,,
Plátano manzano,47,0.5,11.8,5.9,0.3,0,1,1,49,,
Plátano morado,41,0.9,10.3,5.9,0.1,0,1,1,49,,
Pomarosa,60,0.6,15.6,0,0.2,0,1,1,95,,
Pomelo,58,0.9,14.7,0,0.2,0,1,1,153,,
Prisco,59,0.9,14.9,0,0.2,0,1,1,154,,
Pulpa de fresa,44,0.1,11.9,0,0.1,0,1,1,25,,
Pulpa de guanábana,45,0.1,12.3,0,0.1,0,1,1,25,,
Pulpa de mamey,52,1.3,12.2,0,0.5,0,1,1,75,,
Pulpa de tamarindo,57,0.1,14.7,12.7,0.1,0,1,1,100,,
Pulpa de zapote negro,59,0.8,15.2,0,0.1,0,1,1,105,,
Puré de ciruela pasa,51,0.5,13.6,0,0.1,0,1,1,41,,
Puré de guayaba,49,0.1,12,0,0.1,0,1,1,65,,
Puré de Guayaba Gerber 2A Etapa,49,0.1,12,0,0.1,0,1,1,65,,
Puré de manzana,63,0.1,16.4,13.6,0.1,0,1,1,83,,
Puré de manzana sin azúcar,52,0.2,13.8,0,0.1,0,1,1,122,,
Puré de plátano,50,0.6,12.8,6.9,0.2,0,1,1,56,,
Rambután,55,0.6,15,14.4,0.3,0,1,1,88,,
Rollo de frutas,78,0,18,10.3,0.6,0,1,1,21,,
Sandía picada,48,1,12.1,9.9,0.2,0,1,1,160,,
Sandía rebanada,60,1.3,15.1,12.4,0.3,0,1,1,200,,
Saramuyo,63,1.8,13.8,0,0.8,0,1,1,85,,
Semilla de jinicuil,58,4.8,10.8,0,0.4,0,1,1,40,,
Tamarindo,60,0.7,15.6,14.4,0.1,0,1,1,25,,
Tamarindo (pulpa sin azúcar),57,0.1,14.7,12.7,0.1,0,1,1,100,,
Tamarindo pelado,72,0.9,18.8,17.2,0.2,0,1,1,30,,
Tangerina,56,0.6,15.3,0,0.3,0,1,1,128,,
Tejocote,52,0.5,13.1,0,0.4,0,1,1,60,,
Toronja,54,0.9,13.7,11.9,0.2,0,1,1,162,,
Toronja en gajos,50,0.8,12.6,11,0.2,0,1,1,150,,
Tuna,56,1,13.2,0,0.7,0,1,1,138,,
Tuna cardona,56,1,13.2,0,0.7,0,1,1,138,,
Tuna picada,62,1.1,14.4,0,0.8,0,1,1,150,,
Tuna roja,56,1,13.2,0,0.7,0,1,1,138,,
Uva,61,0.6,15.3,0,0.5,0,1,1,86,,
Uva blanca,59,0.6,15,14.3,0.3,0,1,1,87,,
Uva con semilla,57,0.5,14.7,14,0.3,0,1,1,86,,
Uva pasa,57,0.5,15,0,0.1,0,1,1,19,,
Uva roja,57,0.5,14.7,14,0.3,0,1,1,86,,
Uva sin semilla,55,0.6,15,14.3,0.3,0,1,1,87,,
Uva verde,55,0.6,15,14.3,0.3,0,1,1,87,,
Uva verde sin semilla,55,0.6,15,14.3,0.3,0,1,1,87,,
Xocoyol,56,0.5,14.9,0,0.2,0,1,1,225,,
Zapote,68,1.1,17.1,0,0.3,0,1,1,51,,
Zapote amarillo,49,0.7,12.4,0,0.3,0,1,1,62,,
Zapote blanco,53,1.3,12.2,0,0.5,0,1,1,76,,
Zapote borracho,63,0.6,16.3,0,0.4,0,1,1,45,,
Zapote negro,52,0.7,13.5,0,0.1,0,1,1,93,,
Zapote negro limpio,64,0.9,16.7,0,0.1,0,1,1,115,,
Zarzamora,56,0.8,13.8,0,0.6,0,1,1,108,,
Alegría natural,60,2.1,10.8,0,1.2,0,1,3,17,,
Alegría tostada,63,2.2,11.7,0,1.3,0,1,3,16,,
Amaranto cocido,70,7,13.5,0,0.5,70,1,3,330,,
Amaranto tostado,63,2.2,11.6,0,1.3,0,1,3,16,,
Arroz cocido,60,1.1,13.3,0,0.1,0,1,3,47,,
Arroz crudo,72,1.3,15.9,0,0.1,0.2,1,3,20,,
Arroz inflado con cocoa,64,0.9,14.7,0,0.2,126.2,1,3,17,,
Arroz inflado natural,65,1.1,14.6,0,0.1,126.2,1,3,17,,
Arroz integral cocido,73,1.5,15.3,0,0.5,0.7,1,3,65,,
Arroz integral crudo,72,1.5,15.2,0,0.5,0.8,1,3,20,,
Arroz precocido cocido,64,1.5,13.6,0.1,0.2,1,1,3,52,,
Arroz precocido crudo,75,1.6,16.1,0.1,0.2,0.6,1,3,20,,
Arroz pulido crudo,72,1.3,15.9,0,0.1,0.2,1,3,20,,
Arroz salvaje cocido,55,2.1,11.6,0.4,0.2,1.7,1,3,54,,
Arroz salvaje crudo,71,2.9,15,0.5,0.2,1.4,1,3,20,,
Atole en polvo,68,0,16.4,0,0,0,1,3,18,,
Atole en sobre,58,0,14,0,0,0,1,3,16,,
Atole vitaminado,59,0,14.1,0,0,0,1,3,16,,
Avena cocida,66,5.2,18.8,0,1.3,1.5,1,3,164,,
Avena con canela y especias,56,1.3,11.7,5.1,0.7,81.2,1,3,15,,
Avena con manzana y canela,53,1.2,10.9,4.8,0.7,75.9,1,3,14,,
Avena con pasitas y especias,53,1.2,10.9,4.8,0.7,75.9,1,3,14,,
Avena cruda,76,5.4,20.5,0.4,2.2,1,1,3,31,,
Avena en hojuelas,65,4.6,17.6,0,1.9,0.9,1,3,27,,
Avena instantánea preparada,68,4.8,18.2,0.4,2,0.9,1,3,28,,
Avena integral,65,4.6,17.5,0,1.9,0.9,1,3,26,,
Avena integral con pasitas instantánea preparada,77,1.7,16.4,7.8,0.9,120.8,1,3,22,,
Bagel,65,2.5,12.6,0,0.4,126.3,1,3,24,,
Bagel de ajo,67,2.5,12.9,0,0.4,129.4,1,3,24,,
Bagel de ajonjolí,74,2.7,12.9,0,0.7,145.6,1,3,24,,
Bagel de avena,60,2.5,12.6,0,0.3,120,1,3,24,,
Bagel de canela y pasas,65,2.3,13.1,0,0.4,76.3,1,3,24,,
Bagel de cebolla,74,2.7,12.9,0,0.7,145.6,1,3,24,,
Bagel integral,60,2.5,12.6,0,0.3,120,1,3,24,,
Baguette,72,2.2,13.4,1,1,145.8,1,3,27,,
Barquillo,64,1.1,12,0,1.1,22.5,1,3,15,,
Barrita de avena,56,0.8,11.1,4.8,1.1,52.5,1,3,14,,
Barrita de granóla sabor manzana,55,0.8,11.3,5.1,1,39.5,1,3,14,,
Birote,67,2.1,14.1,0,0,123.3,1,3,22,,
Bolillo,61,1.9,12.8,0,0,112.7,1,3,20,,
Bolillo integral,64,2.1,13.4,0,0.1,68.5,1,3,20,,
Bolillo integral sin migajón,64,2.1,13.4,0,0.1,68.5,1,3,20,,
Bolillo sin migajón,61,1.9,12.8,0,0,112.7,1,3,20,,
Bollo de hamburguesa,65,2.4,12.5,1.8,1.1,108.2,1,3,25,,
Bollos para hamburguesa,65,2.4,12.5,1.8,1.1,108.2,1,3,25,,
Burbujas de maíz azucaradas,59,0.7,14,7,0.1,59.5,1,3,16,,
Camote al horno,70,1.2,16.4,0,0.1,5.6,1,3,70,,
Camote amarillo,57,0.6,12.9,0,0.4,4.6,1,3,46,,
Camote cocido,55,0.9,12.7,0,0.2,6.7,1,3,53,,
Camote con miel,45,0.3,10.9,0,0,5.7,1,3,45,,
Camote con naranja,77,0.2,19,0,0,5.2,1,3,50,,
